"x0","y0"
0,1.89975829723473e-08
1,5.22433531739552e-08
2,9.34047829473744e-08
4,1.4564813612133e-07
5,1.86809565894749e-07
7,3.07127591386282e-07
8,4.54358859421974e-07
10,7.02910569976851e-07
11,1.27917058680472e-06
12,2.60108573529722e-06
14,3.14093371809476e-06
15,5.66919538533132e-06
16,1.58313191436228e-09
17,8.89245196297291e-06
18,1.59231407946558e-05
19,7.91565957181139e-09
20,2.73739339312381e-05
21,4.34221421471285e-05
22,6.85037010663701e-05
23,4.11614297734192e-08
24,0.000102276654195461
25,0.000141101381263281
26,1.06069838262273e-07
27,0.000193230748939402
28,0.000254637269633686
29,4.90770893452306e-08
30,0.000335283592483215
31,0.000412605338312583
32,0.000486895386525947
33,3.84701055190033e-07
34,0.000565293662057081
35,0.000655122150009912
36,5.17684135996465e-07
37,0.000734801179259765
38,0.000791258829589752
39,6.28503370001824e-07
40,0.000835353802800485
41,0.000852218907084186
42,0.000864272873480141
43,6.31669633830549e-07
44,0.000849869539323273
45,0.000830659816674401
46,6.44334689145447e-07
47,0.000816422711368541
48,0.000806176681618788
49,5.33515455140088e-07
50,0.000778593774274854
51,0.000745867271341157
52,0.000738887242730734
53,4.86021497709219e-07
54,0.000731112481899301
55,0.00073085443139726
56,5.38264850883174e-07
57,0.000709019876034375
58,0.000688610139394417
59,4.5910825516506e-07
60,0.000666736005733673
61,0.000638614833538856
62,0.000588116091734528
63,4.51192595593249e-07
64,0.000527274749133671
65,0.00046530305034596
66,3.41956493502252e-07
67,0.000400386726197535
68,0.000332834487411697
69,1.91558961637836e-07
70,0.000264337118872984
71,0.000204926927522711
72,0.000158762800899907
73,1.15568629748446e-07
74,0.000118869459789892
75,8.98965626251476e-05
76,6.17421446601288e-08
77,6.65881114499918e-05
78,5.08169513191147e-05
79,2.69132425441587e-08
80,4.00690687525092e-05
81,3.07444217769154e-05
82,2.06598714824277e-05
83,4.74939574308683e-09
84,1.27774576808179e-05
85,7.59111752936712e-06
86,1.58313191436228e-09
87,4.52775727507611e-06
88,2.84488805010901e-06
89,3.16626382872455e-09
90,1.49605965907235e-06
91,5.9050820405713e-07
92,5.47763642369348e-07
94,2.73881821184674e-07
95,9.02385191186498e-08
97,4.11614297734192e-08
98,1.10819234005359e-08
100,4.74939574308683e-09
