"Type_Sublib_Lane","Data_Volumn","Read1_Q20","Read2_Q20","Read1_Q30","Read2_Q30","Read1_GC","Read2_GC","Total_Filtered_Reads","Adapter_Filtered_Reads","Low_Qual_Filtered_Reads","N_Filtered_Reads"
"warning","1.0,*","90%,*","80%,*","80%,*","70%,*","43%,46%","43%,46%","*,5%","*,4%","*,2%","*,2%"
"action","0.6,*","80%,*","70%,*","70%,*","60%,*","40%,50%","40%,50%","*,10%","*,8%","*,4%","*,4%"
"ctrl_HUMM190008263BCDNIA0AA-1618-cd3_L001","0.41#R","94.24%","90.97%","92.06%","88.11%","46.98%","47.09%","0.13%","0.00%","0.00%","0.13%"
"ctrl_HUMM190008263BCDNIA0AA-1618-cd3_L002","0.43#R","95.01%","92.05%","93.00%","89.57%","47.04%","47.24%","0.14%","0.00%","0.00%","0.14%"
"ctrl_HUMM190008263BCDNIA0AA-1618-cd3_L003","0.41#R","94.92%","91.42%","93.03%","88.75%","47.19%","47.31%","0.07%","0.00%","0.00%","0.07%"
"ctrl_HUMM190008263BCDNIA0AA-1618-cd3_L004","0.41#R","94.63%","90.71%","92.53%","87.72%","47.18%","47.30%","0.05%","0.00%","0.00%","0.05%"
"case_HUMM190008263BPDCIB0AA-1610-cd3_L001","3.80","95.48%","93.42%","93.70%","91.06%","44.91%","44.77%","0.24%","0.00%","0.00%","0.24%"
"case_HUMM190008263BPDCIB0AA-1610-cd3_L002","3.89","96.14%","93.90%","94.50%","91.79%","45.01%","44.92%","0.23%","0.00%","0.00%","0.23%"
"case_HUMM190008263BPDCIB0AA-1610-cd3_L003","3.80","96.07%","93.77%","94.55%","91.58%","45.12%","44.99%","0.18%","0.00%","0.00%","0.18%"
"case_HUMM190008263BPDCIB0AA-1610-cd3_L004","3.76","95.85%","93.38%","94.14%","90.94%","45.10%","44.97%","0.15%","0.00%","0.00%","0.15%"
